X,Y,SiteID,SensorDate,SensorID,Confidence,Main_Damag,SensorDa_1,SensorID_2,Confiden_1,Main_Dam_1,Damage_Sta,SensorDa_2,SensorID_3,Confiden_2,Damage_S_1,SensorDa_3,SensorID_4,Confiden_3,Main_Dam_2,Damage_S_2,SensorDa_4,SensorID_5,Confiden_4,Main_Dam_3,Damage_S_3,SensorDa_5,SensorID_6,Confiden_5,Main_Dam_4,Damage_S_4,FieldValid,Notes,Settlement,Neighborho,EventCode,Analyst,Main_Dam_5
4190135.9994,5960077.2717,"5",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4190153.1147,5960011.5392,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189837.8465,5959854.2771,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189663.9653,5959871.1444,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189593.2718,5959876.3533,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189652.8031,5959708.6733,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189722.5044,5959960.1934,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189725.9771,5960020.2208,"26",2022/03/14,"2","1","1",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189724.9849,5960216.9224,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189644.1215,5960354.0926,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189666.9418,5959947.2949,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189429.0644,5960312.9167,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189399.7948,5960339.7058,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189341.5037,5959761.7555,"26",2022/03/14,"2","2","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4189288.1735,5960196.0864,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4188772.7311,5959921.498,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4188117.1419,5960087.9378,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187817.7487,5959912.5683,"26",2022/03/14,"2","3","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187872.3191,5959817.5661,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187557.547,5959868.9119,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187437.9882,5960223.1236,"26",2022/03/14,"2","2","3",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
4187463.0409,5959752.3296,"26",2022/03/14,"2","1","2",,"0","0","0","0",,"0","0","0",,"0","0","0","0",,"0","0","0","0",,"0","0","0","0","0",,Mariupol,Livoberezhnyi,CE20220223UKR,"45","0"
