"id","order","start.url","titulo","barra","club","pais","cancion"
"360","1648752478-5101","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/desde-chiquito-me-enamore/","""Desde chiquito me enamoré""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","Desde chiquito me enamoré, me enamore de la “V” azulada A todas partes siempre voy con vos, con esta banda descontrolada Y dale Vélez, hay que poner más huevos Quiero la vuelta, quiero salir campeón de nuevo"
"361","1648754040-5852","https://barrabrava.net/boca-juniors/la-12/letra/son-los-putos-de-riber-los-que-corren-siempre-con-la-12/","""Son los putos de riBer los que corren siempre con la 12""","La 12"," Boca Juniors","Argentina","Che Gallina, ya nos vamos a ver de nuevo vayan comprando el cajón para el tercero ... Los de River con Boca nunca se plantan Nos tienen miedo Les faltan huevos Para el combate Con los Bosteros Son los putos de River los que corren siempre con La 12 los que piden custodia cuando van a jugar a la Boca corriste en Mar del Plata por favor me pediste en Mendoza Gallina yo me pregunto cuando te vas a plantar en La Boca"
"362","1648754080-5871","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/es-la-banda-del-ciclon-la-que-suena-diferente/","""Es la banda del ciclÃ²n la que suena diferente""","La Gloriosa Butteler"," San Lorenzo","Argentina","San Lorenzo voy con vos San Lorenzo voy a verte Yo te voy a acompañar Y alentarte hasta la muerte Es la banda del ciclón La que suena diferente La que copian los demás Es la envidia de la gente"
"363","1648750483-4201","https://barrabrava.net/chapecoense/barra-da-chape/letra/somos-o-indio-do-oeste/","""Somos o índio do Oeste""","Barra da Chape"," Chapecoense","Brasil","Somos o índio do Oeste Mandamos no sul e no litoral Em Joinville nos pegamos o jec Avae, puto da capital O figueira é freguês E na terra do carvão Quem manda é o poderoso furacão (2x)"
"364","1648749997-3988","https://barrabrava.net/fluminense/o-bravo-ano-de-52/letra/coracao-dispara/","""Coração dispara""","O Bravo Ano de 52"," Fluminense","Brasil","pra sempre te seguirei, tricolor cantando na arquibancada sou louco por voce quando eu venho te ver coração dispara a semana passou tão devagar domingo chegou finalmente a alegria voltou e contigo hoje estou Meu Fluminense Laia lalaia laia lalaia laia lalaia lalaiala a alegria volto e contigo hoje estou Meu Fluminense"
"365","1648751918-4823","https://barrabrava.net/internacional/guarda-popular/letra/vamos-meu-inter/","""Vamos Meu Inter""","Guarda Popular"," Internacional","Brasil","Vamos meu INTER Vamos ganhar lá dentro do chiquero E que se foda os putos do grêmio Campeão da FIFA é o INTERNACIONAL!!!"
"366","1648753486-5588","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/river-yo-no-lo-niego/","""River yo no lo niego""","La Gloriosa Butteler"," San Lorenzo","Argentina","River, vos sos gallina, vas a la cancha cuando ganan y de local. Hoy San Lorenzo te va a contar, las sensaciones que el fútbol te puede dar, alegrías y tristezas de vivir una pasión, esa que el hincha de River no lleva en el corazón. Por eso, quiero explicarte, que lo importante del fútbol es la pasión, si sólo sirve salir campeón, sería lo mismo verlo por televisión. Mientras le pones butacas a toda la popular, la fiesta de San Lorenzo nunca la vas a igualar. Somos tan diferentes, vos sos platea y nosotros popular. Hasta en la gente podes notar, que no es la misma la manera de pensar, esta hinchada hizo la cancha y jamás olvidará, que la tuya te la hizo el gobierno militar."
"367","1648749012-3545","https://barrabrava.net/herediano/garra-herediana/letra/vengo-de-un-barrio-de-heredia/","""Vengo de un barrio de Heredia""","Garra Herediana"," Herediano","Costa Rica","Vengo de un barrio de Heredia ,un barrio de fiesta y carnaval Te juro que aunque pasen los años Nunca te vamo' abandonar Dale dale dale ohh, Dale dale dale ohh, ¡Dale dale dale dale dale ohhhh!"
"368","1648752674-5192","https://barrabrava.net/curico-unido/los-marginales/letra/duele-el-corazon/","""Duele el corazon""","Los Marginales"," Curicó Unido","Chile","vamos albirrojo, hoy hay que ganar, esta es la gloriosa, banda marginal, no nos quiere nadie, que le vamo a hacer, yo dejo la vida, por volverte a ver.. albirro yo te vengo a ver, albirro no puedes perder porque! te llevo en el corazon, te queremos ver campeón dale dale curicó, dale dale dale curicó dale dale curicó, dale dale dale curicó"
"369","1648750812-4353","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/vayas-a-donde-vayas/","""Vayas a donde vayas""","Los del Cerro"," Everton de Viña del Mar","Chile","Vayas a donde vayas Esta la hinchada del efore Fumando marihuana donde sea te alentare No me importa nada Que la vuelta vamos a dar Tiembla todo el puerto a balazos van a correr Oh vo sos la pasion de, de toda mi gente Es mi ilusion ver al ever campeon Vamos vamos vamos ever"
"370","1648753987-5826","https://barrabrava.net/internacional/guarda-popular/letra/muito-obrigado-por-esse-time-que-amo/","""Muito obrigado, por esse time que amo""","Guarda Popular"," Internacional","Brasil","Muito obrigado, por esse time que amo por todos grande momentos, que sempre juntos passamos. Patrão Velho, muito obrigado, pelas vitórias que trago, por ter me feito gaúcho, por hoje ser Colorado."
"371","1648750991-4419","https://barrabrava.net/universitario-de-deportes/trinchera-norte/letra/senores-soy-hincha-crema/","""Señores soy hincha crema""","Trinchera Norte"," Universitario de Deportes","Peru","Señores yo soy hincha crema contigo siempre voy a estar vayas a donde vayas no voy a parar de alentar por eso te sige tu hinchada q canta con el corazon y todos vamo a dar la vuelta vamo a ser campeon uohhhhh"
"372","1648750777-4340","https://barrabrava.net/comunicaciones/vltra-svr/letra/ni-la-muerte-nos-va-a-separar/","""Ni la muerte nos va a separar""","Vltra Svr"," Comunicaciones","Guatemala","Me duele la cabeza de tomar alcohol, la vltra vino solo por vos Daria la vida por verte campeon, si a mi no me interesa en que cancha jugues Local o visitante yo te vengo a ver, ni la muerte nos va a separar Desde el cielo te voy a alentar, en mi cajon"
"373","1648749470-3773","https://barrabrava.net/millonarios/blue-rain/letra/cara-de-gitana/","""Cara De Gitana""","Blue Rain"," Millonarios","Colombia","Vamos millonarios Vamos pongan huevos Quiero ser campeon en el nemesio Voy a todos lados Voy descontrolado Millonarios yo... A ti te amo... Que paso con esos putos que decian Que esta banda nunca más se juntaria Demostramos una vez mas ser hermanos Millonarios vamos por el campeonato"
"374","1648749526-3801","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/senores-yo-soy-del-papayero/","""Señores yo soy del papayero""","Los Papayeros"," Deportes La Serena","Chile","Señores yo soy del papayero Del grana, del club de mi ciudad Por años creció este sentimiento no hay cura para esta enfermedad El equipo descendió el aguante no acabo Todos juntos volveremo' a primera división Donde tengas que jugar Esta hinchada va a llegar En silencio nunca vas a jugar Señores yo soy del papayero"
"375","1648750195-4085","https://barrabrava.net/gremio/geral-do-gremio/letra/o-time-que-nao-caia-foi-pra-serie-b/","""O time que não caia foi pra série B""","Geral do Grêmio"," Grêmio","Brasil","Diziam que o Grêmio já não ganhava nada Dançaram até a valsa com tal do Sasha O Grêmio é campeão da copa E o Inter ninguém mais vê O time que não caia foi pra série B Foi pra série B, foi pra série B Foi pra série B, foi pra série B"
"376","1648749639-3857","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/es-la-banda-velezana/","""Es la banda velezana""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","es la banda velezana la que no le importa nada la que sigue al fortinero en las buenas y en las malas porque me encanta ir ala cancha a ver a velez y seguirlo siempreee a donde vaaa dale veee dalee veee y daleeee dale veeeeeee dale veee dalee veee y daleeee dale veeeeeee."
"377","1648752963-5333","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/jamas-jamas/","""Jamás, Jamás""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Jamás, jamás Jamás tendran la hinchada que tienen los leónes la hinchada Ultra Fiel"
"378","1648751672-4707","https://barrabrava.net/once-caldas/holocausto-norte/letra/me-dejo-una-huella/","""Me dejo una huella""","Holocausto Norte"," Once Caldas","Colombia","que tenemos huevo pa' ser campeón la hinchada lo demuestra... si ponen el alma y corazón podemos dar la vuelta... a todas las canchas te seguiré, por la camiseta porque estoy seguro que este amor cruzara fronteras por eso es que estoy loco por ti por todo lo que viví porque el once me marco ""me dejo una huella"""
"379","1648749153-3615","https://barrabrava.net/vasco-da-gama/guerreiros-do-almirante/letra/cigana-louca/","""Cigana Louca""","Guerreiros do Almirante"," Vasco da Gama","Brasil","Uma cigana louca jogou as cartas, E disse que o Vasco vai sair campeão, Como naquela virada no Palestra Itália, A Mercosul marcou uma geração E me disse uma cigana e me disse com fervor, Que deus tem lugar guardado pra quem morre por amor, E me disse uma cigana e me disse pode crer, Que eu amo Vasco da Gama e por ele vou morrer"
"380","1648754032-5848","https://barrabrava.net/universidad-catolica/los-cruzados/letra/barra-brava-de-los-cruzados/","""Barra brava de los cruzados""","Los Cruzados"," Universidad Católica","Chile","Esta es la barra brava de los crxzados la que te sigue siempre a todos lados la que deja la vida por los colores la que le pide huevos a los jugadores para ser campeones"
"381","1648748984-3531","https://barrabrava.net/penarol/barra-amsterdam/letra/vamo-el-carbonero-hay-que-poner-huevo/","""Vamo el carbonero hay que poner huevo""","Barra Amsterdam"," Peñarol","Uruguay","La gallina ya no puede decir nada Se les termina el chamuyo de la cancha Quiero ser local junto a toda esta gente Y sacar de vuelo a todas las hinchadas Vamo' el carbonero hay que poner huevo Para dar la vuelta en el estadio nuevo Que los jugadores sientan los colores Pa' ganar otra Libertadores"
"382","1648750398-4185","https://barrabrava.net/defensor/la-banda-marley/letra/che-danubio/","""Che Danubio""","La Banda Marley"," Defensor","Uruguay","Che Danubio Mira que distintos somos Vos aguantas con el cante Nosotros aguantamos solos Che Danubio Acá te podes fijar No hay hinchas del carbonero No hay hinchas de Nacional Danubio chiquito... No chamulles mas Si no vas primero... Gente no llevas Te das de guapo... Y sos un cagón Y siempre tu padre, va a ser Defensor"
"383","1648751317-4534","https://barrabrava.net/bolivar/la-vieja-escuela/letra/dale-bo/","""Dale Bo""","La Vieja Escuela"," Bolívar","Bolívia","Oooh dale dale bo Dale bo Dale bo Dale dale bo"
"384","1648753775-5723","https://barrabrava.net/ldu/muerte-blanca/letra/vamos-liga-hoy-te-venimo-a-ver/","""Vamos Liga hoy te venimo' a ver""","Muerte Blanca"," LDU","Ecuador","Vamos Liga hoy te venimo' a ver, Ponga huevo no podemos perder, Te llevamos dentro del corazón, Que este año te queremos ver campeón."
"385","1648749704-3888","https://barrabrava.net/olimpo/noroeste-74/letra/desde-el-primer-dia-supe-que-te-amaba/","""Desde el primer día supe que te amaba""","Noroeste 74"," Olimpo","Argentina","Desde el primer día supe que te amaba yo lo sigo a Olimpo no me importa nada Olimpo yo te quiero Olimpo sos mi vida Olimpo es lo mas grande mas grande de Bahía Quisieron igualarnos y nunca lo lograron quisieron corrernos y siempre nos plantamos la 74 acá te esta esperando si tienen tantos huevos que vengan a buscarnos Vos no tenes hinchada no me chamuyes nada vos sos villero vos sos amargo vos sos cagon somos de Noroeste la que siempre va al frente al Aurinegro vos los miras por television Vamos Olimpo hay que poner mas huevos pa ser primero pa ser primero esta es la banda la que esta de fiesta la que te alienta de la cabeza de pendejo me enseño mi viejo por los colores yo mato y muero desde el cielo te alienta el Dani con el Cabeza y el Chileno â™ªâ™«â™ªâ™«"
"386","1648752079-4903","https://barrabrava.net/pereira/lobo-sur/letra/pereira-es-un-carnaval/","""Pereira es un carnaval.""","Lobo Sur"," Pereira","Colombia","Todo aquel que piense que el Lobo no estará Tiene que saber que no es así Porque el lobo nunca abandona... ¡Vamos Pereira! Dale de, ponga huevos hoy no podés perder Esta hinchada quiere ascender Suden todos la camiseta Pa' dar la vuelta Ah... hay que alentar.... Que Pereira es un carnaval y que vamos a salir primeros Oh Oh Oh Ah, hay que alentar…."
"387","1648751687-4714","https://barrabrava.net/cerro/los-villeros/letra/ya-van-a-ver-al-villero-en-la-copa-otra-vez/","""Ya van a ver al villero en la copa otra vez""","Los Villeros"," Cerro","Uruguay","Ya van a ver al villero en la copa otra vez Ya van a ver al villero en la copa otra vez Carbonero vigilante nunca tuviste ese aguante Carbonero de la yuta vos sos un hijo de puta..."
"388","1648749317-3697","https://barrabrava.net/universidad-catolica/los-cruzados/letra/desde-bebe-me-trajeron-a-san-carlos-con-la-barra-los-cruzados/","""Desde bebé, me trajeron a San Carlos con la Barra Los Cruzados""","Los Cruzados"," Universidad Católica","Chile","Desde bebé Me trajeron a San Carlos con la Barra Los Cruzados Y así aprendí El aguante de esta hinchada que te sigue a todos lados Nacimos así Con la camiseta blanca y el azul que cruza el pecho Vamos a morir Alentando a la Cato porque estamos todos enfermos Porque toda esta gente, Te alienta con el corazón Todo lo que sentimos no tiene explicación Te juro por mi madre, Nunca te vamos a abandonar Y en la cancha que juegues presente vamos a estar"
"389","1648748807-3443","https://barrabrava.net/deportes-la-serena/los-papayeros/letra/pongan-huevos-yo-quiero-ascender/","""Pongan Huevos yo quiero ascender""","Los Papayeros"," Deportes La Serena","Chile","Desde que te conocí Yo de ti me enamore He sufrido, he disfrutado Pero nunca abandone Lo que digan los demás No me van a convencer Quiero ser de La Serena si es que volviera a nacer No importa la división No te dejo de querer Tu Hinchada Los Papayeros Otra vez te vino a ver Granaaaateees Pongan huevos yo quiero ascender Mojen nuestra camiseta Hoy no podemos perder Granaaaatees Pongan huevos yo quiero ascender La Serena es de Primera y a primera va a volver"
"390","1648751922-4825","https://barrabrava.net/millonarios/comandos-azules/letra/gloria-a-mi-pasion/","""Gloria A Mi Pasion""","Comandos Azules"," Millonarios","Colombia","Gloria mi vida,gloria mi pasion Millonarios querido de mi corazon El dia que me muera me vas a escuchar Desde el cielo te voy a elentar Soy de la banda mas loca que hay Que con todos los trapos va siempre alentar No me importa la tomba todo me da igual Solo se que te vengo aletar Gloria mi vida,gloria mi pasion Millonarios querido de mi corazon El dia que me muera me vas a escuchar Desde el cielo te voy a elentar Soy de la banda mas loca que hay Que con todos los trapos va siempre alentar No me importa la tomba todo me da igual Solo se que te vengo aletar Gloria mi vida,gloria mi pasion Millonarios querido de mi corazon El dia que me muera me vas a escuchar Desde el cielo te voy a elentar Soy de la banda mas loca que hay Que con todos los trapos va siempre alentar No me importa la tomba todo me da igual Solo se que te vengo aletar"
"391","1648752161-4944","https://barrabrava.net/sportivo-luqueno/chancholigans/letra/si-quieren-ver-fiesta-llegar-hasta-luque/","""Si quieren ver fiesta, llegar hasta luque""","Chancholigans"," Sportivo Luqueño","Paraguay","Si quieren ver fiesta, llegar hasta luque por que esta es la barra mas loca que hay, los bombo, trompetas y todas las banderas, nosotros alentamos siempre hasta el final, Vamos dale luque vamos a ganar, vayas a donde vayas te voy alentar por que cada dia yo te quiero mas, dame un campeonato para festejar"
"392","1648752111-4919","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/huracan-ponga-mas-huevo/","""Huracan, ponga más huevo""","La Banda de la Quema"," Huracán","Argentina","Huuuuuracan, ponga más huevo,,,que tenemos que ganar....  Es la Banda de la Quema, que no para de alentar....  Vos sos mi vida, vos sos la pasión,,, un sentimiento no  tiene razón...Ya te entregamos nuestro corazón  Solo te pido que salgas CAMPEÓN"
"393","1648748827-3453","https://barrabrava.net/union-espanola/furia-roja/letra/imposibles/","""Imposibles""","Fúria Roja"," Unión Española","Chile","La FURIA ROJA siempre te alienta y te sige a todos lados Dejándo la vida en galeria para verte campeón La furia sigue siendo el padre de todos los tanos a mi no me interesa que pierdas por ti rompo mi voz Seguirte por todo chile es lo que mas quiero Y los de verde se vayan todos juntos hacia el descenso si yo no vengo un domingo te juro me muero por que esta banda nunca te va a fallar con su aliento siempre hasta el final vamos española hoy hay que ganar que esta hinchada esta loca la vuelta quiere dar"
"394","1648750032-4004","https://barrabrava.net/cucuta/la-banda-del-indio/letra/tu-me-partiste-el-corazon/","""Tu me partiste el corazón""","La Banda del Indio"," Cúcuta","Colombia","Y vamos, vamos Cúcuuutaaaa!! vamos cúcuta! que la del indio está de fiesta, ya llegó vengo a alentarte sin parar estoy reloco por la vuelta, quiero festejar! por eso yo te pido ser campeón de nuevo hay que poner más huevo para ser primero es que del rojinegro vivo enamorado yo con estos colores voy a todos lados dale dale indio"
"395","1648753945-5805","https://barrabrava.net/deportes-quindio/artilleria-verde-sur/letra/vamos-vamos-quindio/","""Vamos Vamos Quindio""","Artillería Verde Sur"," Deportes Quindío","Colombia","Vamos Vamos QUINDIO hoy te he venido a alentar para ser campeón solo hay que ganar."
"396","1648750197-4086","https://barrabrava.net/velez-sarsfield/la-pandilla-de-liniers/letra/la-banda-de-liniers-la-mas-loca-de-todas/","""La banda de Liniers, la mas loca de todas""","La Pandilla de Liniers"," Vélez Sarsfield","Argentina","La banda de Liniers La mas loca de todas La que sigue al Fortin con el vino y la droga Te sigo a donde vas No importa donde juegues Yo te voy a alentar Te sigo hasta la muerte Y dale dale Ve Y dale dale Velez Que hoy hay que ganar Te lo pide la gente boedo paternal la boca y mataderos A todos los de Velez Nos chupan bien los huevos"
"397","1648749714-3893","https://barrabrava.net/ldu/muerte-blanca/letra/esta-es-la-banda-loca-del-funebrero/","""Esta es la banda loca del funebrero""","Muerte Blanca"," LDU","Ecuador","Esta es la banda loca del funebrero, La que le sigue a Liga donde juguemos, La que deja la vida por los colores, La que le pide aguante a los jugadores Para ser campeones, Para ser campeones."
"398","1648753228-5462","https://barrabrava.net/rosario-central/los-guerreros/letra/ese-chiquero-te-vamo-a-quemar/","""Ese chiquero te vamo' a quemar""","Los Guerreros"," Rosario Central","Argentina","Esta es la banda loca de los Guerreros la que la banda ñuvels nos chupa un huevo/o/la que los sin bandera nos chupa un huevo ahora ese nombre ingles esta bien cambiado ahora no sos mas ñuvels sos gil robado SOS GIL ROBADO."
"399","1648749042-3560","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/cuidate-bostero/","""Cuídate Bostero""","Los Borrachos del Tablón"," River Plate","Argentina","En el barrio de la Boca Hay una banda puta Que no tiene aguante Es la banda del abuelo La que corre en Núñez Corre en todas partes Cuídate Bostero Ya nos vamos a ver de nuevo Cuídate Bostero Ya nos vamos a ver de nuevo"
"400","1648752026-4877","https://barrabrava.net/internacional/guarda-popular/letra/gremio-vamos-te-matar/","""Grêmio vamos te matar!""","Guarda Popular"," Internacional","Brasil","Grêmio vamos te matar! (x2) Ninguém vai salvar! Nem a federal! (Ó Grêmio puto!)"
"401","1648749482-3779","https://barrabrava.net/zamora/la-burra-brava/letra/soy-blanquinegro-si-senor/","""Soy blanquinegro si señor""","La Burra Brava"," Zamora","Venezuela","Soy blanquinegro si señor de corazón fumando porro vengo a ver al campeón que DESCONTRO, Tribu rojinegro hablan de mas y no awantas, y con la burra brava nunca te plantas porque sera! Marihuana nunca faltara para alentar la burra siempre monta el carnaval adonde va"
"402","1648753873-5771","https://barrabrava.net/tigre/la-barra-del-matador/letra/vamos-vamos-victoria-hoy-te-vinimos-a-ver/","""Vamos vamos victoria hoy te vinimos a ver""","La Barra Del Matador"," Tigre","Argentina","Vamos vamos Victoria hoy te vinimos a ver Que esta hinchada esta loca hoy no podemos perder Tigre locura Que tenemos aguante eso no hay dudas Tigre te quiero Antes de ser de Chaca yo me muero"
"403","1648750290-4132","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/daria-la-vida-por-un-campeonato-la-libertadores-jugar/","""Daría la vida por un campeonato la Libertadores jugar""","Los del Cerro"," Everton de Viña del Mar","Chile","Señores soy del Ever Y lo sigo a todos lados Y no me importa donde juegue Lo voy a alentar Pasan los años Pasan los jugadores Lo que queda es la hinchada La que te sigue siempre Alienta donde va Vamo' Oro y Cielo te venimos a ver Vamo' Oro y Cielo no podemos perder Daría la vida por un campeonato La Libertadores jugar"
"404","1648749454-3765","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/los-mismos-de-siempre-de-visitante-o-de-local/","""Los mismos de siempre, de visitante o de local""","Los del Cerro"," Everton de Viña del Mar","Chile","Yo de Bebé, me ponía la polera y me iba pa la esquina Iba a la cancha y mi hermano me llevaba cuando papi no llegaba Hoy como siempre, yo te sigo te acompaño en las buenas y en las malas Yo voy a morir alentando al Oro y Cielo y fumando marihuana Los mismos de siempre, de visitante o de local Ninguna ley de mierda nos podrá separar Pasaron tantas cosas el descenso y mucho mas No me importa nada, te quiero de verdad"
"405","1648752401-5063","https://barrabrava.net/boca-juniors/la-12/letra/esta-hinchada-siempre-alienta/","""Esta hinchada siempre alienta""","La 12"," Boca Juniors","Argentina","Esta es la número 12 Qué te sigue a todas partes La que corre a San Lorenzo, la academia y riber plate Esta hinchada siempre alienta Aunque ganes, aunque pierdas Boca es un sentimiento que no se puede explicar Vamos Boca Juniors que tenés que ganar Y de la cabeza la vuelta vamos a dar Y descontrolado vamo a festejar Vamos a festejar..."
"406","1648749319-3698","https://barrabrava.net/chacarita-juniors/la-famosa-banda-de-san-martin/letra/la-famosa-banda-de-san-martin/","""La Famosa Banda de San Martín""","La Famosa Banda de San Martin"," Chacarita Juniors","Argentina","No me importa el periodismo y policía, No me importa donde vayas a jugar, Copando todas las canchas de Argentina la fiesta en la tribuna siempre esta. Esta banda es conocida por su gente, su gente la que siempre te va a seguir, Como alienta, como grita y se la aguanta, es La Famosa Banda de San Martin Porque hoy, dejo todo y voy a ver al funebrero Mi pasion, mi locura, mi droga y mi descontrol Y al jugador que deje la vida por estos colores porque yo, yo la dejo por ver a Chaca campeón"
"407","1648751117-4481","https://barrabrava.net/internacional/guarda-popular/letra/muito-mais-que-um-vicio/","""Muito Mais Que Um Vicio""","Guarda Popular"," Internacional","Brasil","ÔÔÔÔÔÔÔ ÔÔÔÔÔÔÔ Muito mais que um vício! Muito mais que amoor! Não é o puto do grêmio! É o rolo compressooor!"
"408","1648752218-4972","https://barrabrava.net/desportiva-ferroviaria/grenamor/letra/tiva-estaremos-contigo/","""Tiva estaremos contigo""","Grenamor"," Desportiva Ferroviária","Brasil","Tiva estaremos contigo Tu és minha paixão Não importa o que digam sempre estarei contigo Minha camisa grená A cerveja na mão O Araripe te espera Vai começar a festa Xalaialaiá xalaialaiá xalaialaiá Você me deixa doidão Xalaialaiá xalaialaiá xalaialaiá Tiva do meu coração"
"409","1648754378-6018","https://barrabrava.net/universidad-catolica/los-cruzados/letra/cantan-con-parlante/","""Cantan con parlante""","Los Cruzados"," Universidad Católica","Chile","Ohhh cantan con parlantes ohh Ohhh cantan con parlantes chunchos huecos sin aguante"
"410","1648751790-4765","https://barrabrava.net/monagas/guerreros-chaimas/letra/yo-te-vi-volver/","""Yo te vi volver""","Guerreros Chaimas"," Monagas","Venezuela","Aquí está otra vez Esta barra que te sigue a todos lados Yo te vi volver En mi mente ese momento está grabado Gloriosa tarde en el comanche Como campeones a primera regresamos Un sentimiento descontrolado Y aunque mi madre me repita… TE VAS A MORIR De tantas ganas de ir a la cancha Yo le respondo que a mi corazón Solo este amor hace latir Y es que en la norte yo quiero vivir Con esta hinchada que siempre acompaña Solo te pido que salgas campeón Esa es mi ilusión. Soy chaima a morir Y DALE DALE DALE AZULGRANA (3) Y DALE DALE DALE AZULGRANA Y DALE DALE DALE AZULGRANA"
"411","1648750541-4227","https://barrabrava.net/monterrey/la-adiccion/letra/yo-paro-en-la-banda-mas-loca-de-todas/","""Yo paro en la banda mas loca de todas""","La Adicción"," Monterrey","México","Yo paro en la banda mas loca de todas la banda que sigue a Rayados a donde va la banda esta loca como esta no hay otra y a todos los tigres los vamos a matar Pideme la luna y te la bajare pideme que venga yo te alentare mas nunca me pidas que no venga mas porque ser Rayado es una enfermedad"
"412","1648754054-5859","https://barrabrava.net/instituto/los-capangas/letra/en-el-barrio-de-la-docta-ahy-una-banda/","""En el Barrio de la Docta ahy Una Banda""","Los Capangas"," Instituto","Argentina","En el Barrio de la Docta ahy Una Banda El Aguante es Lo Primero que Aprendi De Pendejo yo Sigo la Roja y Blanca Xq a la Gloria Yo lo Quiero Hasta Morir Que Loco EStoy Dado Vuelta x El Porro y El ALcohol Que Loco Estoy YO DARIA LA VIDA X SER CAMPEON"
"413","1648753886-5777","https://barrabrava.net/el-nacional/marea-roja/letra/hincha-de-el-club-nacional/","""Hincha de el club nacional""","Marea Roja"," El Nacional","Ecuador","En ecuador si si en Ecuador Solo hay un equipo que es bitricampeon lo digo yo si si lo digo yo porque soy un hincha de el club Nacional NACIONAL X5"
"414","1648750278-4126","https://barrabrava.net/comunicaciones/vltra-svr/letra/pideme-la-luna/","""Pideme la luna""","Vltra Svr"," Comunicaciones","Guatemala","No pare la banda, mas loca de todas, la banda que sigue al albo a donde va, a donde va, la vltra esta loca, como esta no hay otra, y a todos los putos los vamos a matar, puto cagon, pideme la luna y te la bajare, pideme un aliento y yo te alentare, pero no me pidas que no vuelva mas, porque ser del albo es una enfermedad, pideme la luna y te la bajare, pideme un aliento y yo te alentare, pero no me pidas que no vuelva mas, porque ser del albo es una enfermedad"
"415","1648751094-4470","https://barrabrava.net/club-deportivo-olimpia/la-ultra-fiel/letra/ya-me-voy-para-la-cancha/","""Ya Me Voy Para La Cancha""","La Ultra Fiel"," Club Deportivo Olimpia","Honduras","Ya me voy para la cancha. Voy a ver a los leones. A mi no me importa nada, Club Olimpia, yo te quiero. ¡Mi corazón, pintado de tricolor! te quiere ver campeón, contigo festejar, 100 años, mucho más. Celebra la Ultra Fiel, con bombo y carnaval."
"416","1648750330-4152","https://barrabrava.net/boca-juniors/la-12/letra/cuando-vas-a-la-cancha/","""Cuando vas a la cancha""","La 12"," Boca Juniors","Argentina","Cuando vas a la cancha, vas con el patrullero Vos no tenés aguante, gallina vigilante Siempre hiciste amistades con el rojo Y el tercero te vamo' a matar Y La Doce que siempre está Donde jugués te va a alentar Y dale Bo, vamo' a ganar Que la vuelta queremos dar"
"417","1648752065-4896","https://barrabrava.net/river-plate/los-borrachos-del-tablon/letra/yo-los-domingos-voy-a-ver-al-campeon/","""Yo Los Domingos Voy a Ver Al Campeón""","Los Borrachos del Tablón"," River Plate","Argentina","Yo los domingos voy a ver al campeón Porque lo llevo en el alma Esa locura que siento por vos No se compara con nada Ganes o pierdas te vengo a alentar River Plate vos sos mi vida Sos la alegria de mi corazón Lo mas grande de la Argentina Yo campeón...te vengo a ver Y no me importa mas nada Vamos, vamos River Plate No le falles a tu hinchada"
"418","1648749044-3561","https://barrabrava.net/zulia/la-petrolera/letra/esta-noche-me-emborracho/","""Esta Noche Me Emborracho""","La Petrolera"," Zulia","Venezuela","Muchaaachoooos, Esta noche me emborracho bien, Bien borracho, Bien Borracho, Y al Zulia siempre amare, Vamos, Vamos Petrole, Vamos, Vamos Petrole, Vamos, Vamos Petrole, Te llevo en el corazooon"
"419","1648749597-3836","https://barrabrava.net/cerro-porteno/la-plaza-y-comando/letra/una-gitana-loca-tiro-las-cartas/","""Una Gitana Loca Tiro las Cartas""","La Plaza y Comando"," Cerro Porteño","Paraguay","Una gitana loca tiro las cartas Me dijo que este año cerro es campeon Ya lo corrimos a luque y no paso nada Ahora le toca a olimpia por ser cagon Me lo dijo una gitana Me lo dijo con fervor O dejas la marihuana o te vas para el cajon Me lo dijo una gitana Yo no le quise creer Yo le sigo dando al vino a los fasos y al papel"
"420","1648753478-5584","https://barrabrava.net/real-cartagena/rebelion-auriverde-norte/letra/volvimos-al-moron/","""Volvimos al Morón""","Rebelión Auriverde Norte"," Real Cartagena","Colombia","Real aquí está tu hinchada Con huevos y con Fermon Real aquí está tu hinchada Con huevos y con Fermon Volvimos al Morón Volvimos al Morón Real de mi vida Vino alentarte la rebelión Y con mucho aguante Vamos a dar la vuelta anelada Y dar la vuelta anelada Aunque muera en el tablón Con huevos y con Fermon"
