"id","order","start.url","titulo","barra","club","pais","cancion"
"1396","1648752188-4957","https://barrabrava.net/millonarios/comandos-azules/letra/cada-vez-que-te-veo-en-la-cancha/","""Cada vez que te veo en la cancha""","Comandos Azules"," Millonarios","Colombia","Cada vez que te veo en la cancha, te aliento hasta morir Vamos los Millonarios, es mi razón de vivir Millos es lo mas grande, es sentimiento y pasión Yo lo llevo en la sangre, te llevo en el corazón ¡¡QUIERO SER CAMPEÓN!!"
"1397","1648754276-5967","https://barrabrava.net/deportes-quindio/artilleria-verde-sur/letra/soy-del-quindio/","""Soy del Quindío""","Artillería Verde Sur"," Deportes Quindío","Colombia","Soy del Quindío Soy del Quindío Soy del Quindío Soy artilleroooo Todos los días llevo en mi pensamiento al Deportes Quindío en todo momento toda esta hinchada tiene ansias de verte somos la Artillería contigo siempre."
"1398","1648753392-5542","https://barrabrava.net/pachuca/barra-ultra-tuza/letra/te-juro-que-te-amo/","""Te juro que te amo""","Barra Ultra Tuza"," Pachuca","México","Te juro que te te amo... *silvido* La Banda esta alentando Yo voy descontrolado Siempre a donde vas Yo siempre voy Te juro que nunca te voy abandonar Y... Mis sentimientos Nos los cambiaré jamás Aún que ganes, aún que pierdas Yo sigo aquí.... Loco por ti... *silvido*"
"1399","1648749180-3629","https://barrabrava.net/juan-aurich/la-banda-los-nortenos/letra/soy-del-aurich/","""Soy Del Aurich""","La Banda Los Norteños"," Juan Aurich","Peru","Soy del Aurich , vago y atorrante, Ciclon, te sigo a todas partes... este año, para salir primero, este año hay que poner más huevos... Yo no soy Gallina, ni tampoco Cervecero , yo no soy como esos putos, de Sullana y del Callao ! siempre te voy alentar, en las buenas y en las malas, siempre voy de la cabeza, y fuamando marihuana... vamos aurich ... vamos aurich..."
"1400","1648749824-3946","https://barrabrava.net/gremio/geral-do-gremio/letra/inter-cagao/","""Inter Cagão""","Geral do Grêmio"," Grêmio","Brasil","Olha a festa macaco Torcida é coração Quem não canta é amargo Nunca vai sair campeão"
"1401","1648751683-4712","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/san-lorenzo-te-vinimos-a-ver-porque-tenemos-aguante/","""San Lorenzo te vinimos a ver porque tenemos aguante""","La Gloriosa Butteler"," San Lorenzo","Argentina","San Lorenzo te vinimos a ver porque tenemos aguante no somos como los putos de huracan que son todos vigilantes, yo a vos te sigo en las buenas y en las malas yo a vos te sigo adonde quieras que vayas, por eso vengo del barrio de boedo a alentar a Azulgrana"
"1402","1648753318-5507","https://barrabrava.net/botafogo/loucos-pelo-botafogo/letra/venceremos-outra-vez/","""Venceremos outra vez""","Loucos pelo Botafogo"," Botafogo","Brasil","Venceremos, venceremos Venceremos outra vez Venceremos esta copa Como em 93."
"1403","1648750320-4147","https://barrabrava.net/emelec/boca-del-pozo/letra/jamas-podre-olvidar-al-club-sport-emelec/","""Jamás podré olvidar al Club sport Emelec!""","Boca del Pozo"," Emelec","Ecuador","¡Jamás podré olvidar Al Club Sport Emelec! Siempre dispuesto a ganar Nadie lo puede vencer No sé por qué De ti me enamore Cuando te vi jugar Será en tu buen jugar Que pones al vencer.. O el cielo azul y plomo que se refleja en ti...."
"1404","1648749672-3872","https://barrabrava.net/gimnasia-y-esgrima/la-banda-de-fierro-22/letra/hoy-le-cuento-al-amargo/","""Hoy le cuento al amargo""","La Banda de Fierro 22"," Gimnasia y Esgrima","Argentina","Hoy le cuento al amargo, Lo que es tener sentimiento, Que no importan las copas, Que eso son solo momentos, Lo que importa es la gente, Y es lo mejor que tenemos, Hoy te alentamos en la tierra, Pero tambien desde el cielo, El basurero provoco hasta terremotos lobo, A pesar de los descensos y los garrones lobo, La locura el descontrol y la alegria, Porque La Plata siempre fue tripa, Y el sentimiento no se termina..."
"1405","1648750919-4383","https://barrabrava.net/everton-de-vina-del-mar/los-del-cerro/letra/la-plaza-del-barrio/","""La Plaza del Barrio""","Los del Cerro"," Everton de Viña del Mar","Chile","Estamos todos descontrolados en la plaza del barrio La previa tomando vino tinto para ver a Everton Ahora van a ver la verdad la que no dicen los diarios Que la barra mas brava de todas es la que está en el cerro Tocar la Libertadores yo me imagino Que se quieran matar los porteños y los santiaguinos Voy a verte jugar todos los Domingos A donde juegues ahí voy a estar En cualquier cancha te voy alentar Todos nuestros hijos se pondrán a llorar Otra vez dar la vuelta van a ver a papá"
